delta,wing,dte,max_vix,trades,win_rate,total_pnl,avg_pnl,sharpe
0.1,30,2,25,1080,0.9601851851851851,347239.07397146634,321.517661084691,0.7083928829718386
0.1,30,3,17,516,0.9496124031007752,162771.24353156443,315.44814637900106,0.6176765100229148
0.1,30,3,20,821,0.9427527405602923,247785.19408718494,301.8090061963274,0.5400065111405185
0.1,30,3,25,1079,0.9360518999073216,310759.8225376632,288.0072498032097,0.4770942613775198
0.1,35,1,17,518,0.918918918918919,114814.73518988058,221.65006793413238,0.3847381918539246
0.1,35,1,20,823,0.9173754556500607,195991.47258546154,238.1427370418729,0.4386920629837131
0.1,35,1,25,1081,0.9111933395004626,235973.32276953937,218.29169543898178,0.3506170896009694
0.1,35,2,17,517,0.9613152804642167,176481.33972236735,341.35655652295435,0.7064373260265792
0.1,35,2,20,822,0.9671532846715328,297999.1483932356,362.5293776073423,0.7976653596947474
0.1,35,2,25,1080,0.9601851851851851,381097.9613512842,352.8684827326696,0.6974784275025234
0.1,35,3,17,516,0.9496124031007752,179863.2731874078,348.5722348593171,0.6110474611487497
0.1,35,3,20,821,0.9427527405602923,275132.01533461094,335.11816727723607,0.5381871488126918
0.1,35,3,25,1079,0.9360518999073216,345139.9613538651,319.87021441507414,0.4725098148880053
0.12,20,1,17,518,0.9111969111969112,100077.74986718447,193.20028931888888,0.4058376356592953
0.12,20,1,20,823,0.8979343863912516,155013.8306001323,188.35216354815603,0.38743450238612803
0.12,20,1,25,1081,0.8871415356151712,186929.8177567083,172.92305065375427,0.3334910871611444
0.12,20,2,17,517,0.9497098646034816,148210.51645832838,286.6741130722019,0.7985638410126715
0.12,20,2,20,822,0.9562043795620438,247040.74729232886,300.53618892010843,0.8873781934488998
0.12,20,2,25,1080,0.9444444444444444,308501.0206696734,285.6490932126606,0.7477947466163383
0.12,20,3,17,516,0.9282945736434108,138011.09180203523,267.4633562054947,0.6188000314600507
0.12,20,3,20,821,0.9159561510353228,208249.9311253856,253.65399649864267,0.5455720280901667
0.12,20,3,25,1079,0.9110287303058388,264266.34722376574,244.9178380201724,0.49958048512050107
0.12,25,1,17,518,0.9131274131274131,115756.20528593159,223.46757777206884,0.40540810339300964
0.12,25,1,20,823,0.9003645200486027,181903.09166743472,221.0244127186328,0.39524491359824876
0.12,25,1,25,1081,0.8899167437557817,219386.58149430508,202.94780896790493,0.3363784070578526
0.12,25,2,17,517,0.9516441005802708,174829.92005439822,338.1623211883914,0.8122409239379297
0.12,25,2,20,822,0.9574209245742092,291226.91748698044,354.2906538771052,0.8890043960122578
0.12,25,2,25,1080,0.9453703703703704,365575.8938677469,338.49619802569146,0.7535842799993998
0.12,25,3,17,516,0.9321705426356589,164281.63153644776,318.3752549155966,0.6143830768556547
0.12,25,3,20,821,0.9232643118148599,248630.96365715368,302.83917619628966,0.5423720499538731
0.12,25,3,25,1079,0.9184430027803522,315079.8961554036,292.01102516719465,0.4928555909762822
0.12,30,1,17,518,0.916988416988417,129085.72048300781,249.20023259267933,0.4084303394711043
0.12,30,1,20,823,0.9040097205346294,206744.34108368534,251.20819086717535,0.41271091763213896
0.12,30,1,25,1081,0.8945420906567992,249829.5752630908,231.10969034513496,0.34755654975712086
0.12,30,2,17,517,0.9516441005802708,197347.70559839785,381.7170321052181,0.8112911201851307
0.12,30,2,20,822,0.9586374695863747,329599.8313956778,400.9730308949854,0.8906238669548829
0.12,30,2,25,1080,0.9462962962962963,415556.81281772273,384.7748266830772,0.7568335860717431
0.12,30,3,17,516,0.9321705426356589,188497.16802085817,365.30458918770984,0.6213481197001073
0.12,30,3,20,821,0.9244823386114495,285710.8795686223,348.0035073917449,0.5450216257035578
0.12,30,3,25,1079,0.9193697868396663,361873.7743976169,335.37884559556716,0.4917875394390525
0.12,35,1,17,518,0.916988416988417,140022.56017159953,270.3138227250956,0.41055159825179943
0.12,35,1,20,823,0.905224787363305,227907.36569742527,276.92268006977525,0.4283028676179013
0.12,35,1,25,1081,0.8954671600370028,275690.76020900405,255.03308067437942,0.3561162008681668
0.12,35,2,17,517,0.9516441005802708,215933.36225930782,417.66607787100145,0.7951130288286151
0.12,35,2,20,822,0.9598540145985401,361724.37379839807,440.0539827231119,0.8751600533003288
