date,spx,vix,momentum,put_delta,call_delta,contracts,credit,pnl,capital,win,year
2024-07-05,5567.18994140625,12.479999542236328,0.015378774695834485,0.12,0.18,1,596.4311944252188,596.4311944252188,51574.14427852143,True,2024
2024-07-10,5633.91015625,12.850000381469728,0.022672022003727532,0.1,0.2,1,607.4068029830329,607.4068029830329,52181.55108150446,True,2024
2024-07-15,5631.22021484375,13.119999885559082,0.010474015300007578,0.12,0.18,1,610.4885238749148,610.4885238749148,52792.039605379374,True,2024
2024-07-19,5505.0,16.520000457763672,-0.01965150805152971,0.18,0.12,1,659.6972171120569,659.6972171120569,53451.73682249143,True,2024
2024-07-24,5427.1298828125,18.040000915527344,-0.028835424228886297,0.2,0.1,1,678.3042657001033,678.3042657001033,54130.04108819154,True,2024
2024-07-29,5463.5400390625,16.600000381469727,-0.018127728610048965,0.18,0.12,1,660.4229910051231,660.4229910051231,54790.46407919666,True,2024
2024-08-13,5434.43017578125,18.1200008392334,0.03709910030963748,0.1,0.2,1,673.1184359719691,-2326.881564028031,52463.58251516863,False,2024
2024-08-16,5554.25,14.800000190734863,0.03931204110795594,0.1,0.2,1,638.6783434839259,638.6783434839259,53102.26085865255,True,2024
2024-08-21,5620.85009765625,16.270000457763672,0.030363659310059576,0.1,0.2,1,655.8309521398343,655.8309521398343,53758.091810792386,True,2024
2024-08-26,5616.83984375,16.149999618530273,0.0015316442294832644,0.12,0.18,1,655.5395000068813,655.5395000068813,54413.63131079927,True,2024
2024-08-30,5648.39990234375,15.0,0.0024473813444236825,0.12,0.18,1,640.2389259281563,-2359.7610740718437,52053.87023672742,False,2024
2024-09-09,5471.0498046875,19.450000762939453,-0.03139828990908744,0.2,0.1,1,692.526054984512,692.526054984512,52746.396291711935,True,2024
2024-09-13,5626.02001953125,16.559999465942383,0.04023358038012925,0.1,0.2,1,658.8437820022364,658.8437820022364,53405.24007371417,True,2024
2024-09-18,5618.259765625,18.229999542236328,0.011546341941147675,0.12,0.18,1,675.2631534876059,170.2826847376059,53575.52275845178,True,2024
2024-09-23,5718.56982421875,15.890000343322754,0.015174616922467798,0.12,0.18,1,654.151981051649,654.151981051649,54229.674739503425,True,2024
2024-09-27,5738.169921875,16.959999084472656,0.006246349160899944,0.12,0.18,1,667.6130794860171,667.6130794860171,54897.28781898944,True,2024
2024-10-02,5709.5400390625,18.899999618530277,-0.0022228502520823534,0.18,0.12,1,693.8751745193827,693.8751745193827,55591.16299350882,True,2024
2024-10-14,5859.85009765625,19.700000762939453,0.02877666512219812,0.1,0.2,1,700.00057211289,700.00057211289,56291.16356562171,True,2024
2024-10-18,5864.669921875,18.030000686645508,0.008536523208438895,0.12,0.18,1,682.1331390169746,682.1331390169746,56973.296704638684,True,2024
2024-10-23,5797.419921875,19.239999771118164,-0.007710829719643653,0.18,0.12,1,697.7513108712571,697.7513108712571,57671.04801550994,True,2024
2024-10-28,5823.52001953125,19.799999237060547,-0.005203290930123949,0.18,0.12,1,703.6842359093498,703.6842359093498,58374.73225141929,True,2024
2024-11-06,5929.0400390625,16.270000457763672,0.019844628046975732,0.12,0.18,1,666.7532745709195,666.7532745709195,59041.48552599021,True,2024
2024-11-11,6001.35009765625,14.970000267028809,0.05052963826336132,0.1,0.2,1,653.6038140104836,653.6038140104836,59695.0893400007,True,2024
