delta,wing_width,dte,total_trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,max_loss,sharpe
0.18,30,2,58,0.9310344827586207,17267.18364758388,297.7100628893772,414.35383419804396,-1276.980849777624,-2555.382775167527,0.6178083822692393
0.18,30,3,57,0.9473684210526315,19462.980597679114,341.45579995928284,430.4935408355076,-1261.2235358127652,-2581.2844458410723,0.7650236816344813
0.2,15,0,60,0.31666666666666665,-39025.9765625,-650.4329427083334,152.37201891447367,-1022.4645102896342,-1500.0,-0.9264688759447484
0.2,15,1,59,0.9491525423728814,10929.575881546358,185.24704883976884,253.63193200182405,-1091.270770185262,-1244.0561232715709,0.6184093078737841
0.2,15,2,58,0.9310344827586207,9467.558063432363,163.2337597143511,262.08878771219486,-1171.3091182565393,-1239.8768055269556,0.44794610170885596
0.2,15,3,57,0.9122807017543859,9629.147655777975,168.93241501364875,265.59542913169236,-836.3629318140056,-1238.0621566745504,0.4902806930148707
0.2,20,0,60,0.31666666666666665,-51183.0078125,-853.0501302083334,152.37201891447367,-1318.9774676067073,-2000.0,-0.9364416347713905
0.2,20,1,59,0.9491525423728814,13923.02879142204,235.9835388376617,321.0291824536822,-1351.5351419947212,-1671.5987848416717,0.6184841880329999
0.2,20,2,58,0.9310344827586207,12267.960371047464,211.51655812150807,336.04792358083546,-1469.656875579412,-1666.4182893963243,0.454396464768424
0.2,20,3,57,0.9122807017543859,13036.55810913823,228.7115457743549,342.9740590120625,-959.6185918978039,-1661.308748521185,0.5444790225915014
0.2,25,0,60,0.31666666666666665,-61387.98828125,-1023.1331380208334,152.37201891447367,-1567.8794302591464,-2500.0,-0.9267493140642559
0.2,25,1,59,0.9491525423728814,16964.814633579397,287.5392310776169,380.92594164539486,-1455.679366187572,-2104.9469105576236,0.6741759741925372
0.2,25,2,58,0.9310344827586207,15126.261428432346,260.7976108350405,403.91741144665383,-1671.3196974217399,-2076.272250005877,0.4816849258683135
0.2,25,3,57,0.9298245614035088,16165.289042880231,283.6015621557935,408.45254359274054,-1370.6739418837542,-2089.4672870514114,0.5670296741097123
0.2,30,0,60,0.31666666666666665,-70593.017578125,-1176.55029296875,152.37201891447367,-1792.3923399390244,-3000.0,-0.9103220220306549
0.2,30,1,59,0.9491525423728814,19615.266587795406,332.46214555585436,433.94802107396634,-1561.9408641155703,-2547.2669298902133,0.7000128694521524
0.2,30,2,58,0.9310344827586207,18247.19395843346,314.60679238678375,466.06012507039605,-1730.013198841982,-2504.4207465507384,0.542412510386004
0.2,30,3,57,0.9298245614035088,19016.918005791984,333.6301404524909,475.7198377340144,-1549.0583485276943,-2522.3185265028405,0.5718394094464765
